方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,71,Middle60,0.008127292229734767,0.05398713832612801,0.062114430555862785,0.0006900836152212793,0.7044275300868321,0.3725454003215418
Full-CP μ1,71,Tail20,0.0020526553271338296,0.0010963684568802588,0.003149023784014085,-0.002264988436557663,0.05778437142726034,0.014105282643868122
Full-CP μ1,71,Many35,0.27182674860962713,-0.1341457962015887,0.1376809524080384,0.0009203614611642214,0.4677667464566184,0.8134968126760214
Full-CP μ1,71,Medium35,0.08761648377931222,-0.05345747249242508,0.03415901128688714,0.0011363963002151123,0.38865721646288875,0.15838480547245126
Full-CP μ1,71,Few30,-0.010381723316668565,0.019164836764812267,0.00878311344814371,-0.0018429500751020167,0.14357602754898835,0.028118373607867397
Full-CP μ1,72,Head20,0.599456572608632,-0.5309021093068672,0.06855446330176491,0.0011501558528723796,0.23843508870049845,0.6133493087909301
Full-CP μ1,72,Middle60,0.009826606916140405,0.05560409117481882,0.06543069809095922,0.0007870708276015127,0.6974480482749641,0.3725454003215418
Full-CP μ1,72,Tail20,0.0021458491877031785,-0.00014628021745009923,0.0019995689702530656,-0.002556977904168889,0.06411687075160444,0.014105282643868122
Full-CP μ1,72,Many35,0.2778214628137262,-0.16165691094038395,0.11616455187334222,0.001036512507351911,0.45744108529470395,0.8134968126760214
Full-CP μ1,72,Medium35,0.09387917289839026,-0.06111940103029206,0.03275977186809821,0.0012683575747273793,0.393493399489671,0.15838480547245126
Full-CP μ1,72,Few30,-0.012929246634298217,0.01708161996588149,0.004152373331583255,-0.0020527548080871527,0.14906552294269204,0.028118373607867397
Full-CP μ1,73,Head20,0.6120998879740748,-0.5368259700739483,0.07527391790012633,0.0011652075569916294,0.2389178001030814,0.6133493087909301
Full-CP μ1,73,Middle60,0.011615982889890995,0.05586969981060093,0.06748568270049193,0.0008166449749662203,0.7038552801823243,0.3725454003215418
Full-CP μ1,73,Tail20,0.006614750600419928,-0.0006584761043389532,0.005956274496080981,-0.002692949294190233,0.05722696575685404,0.014105282643868122
Full-CP μ1,73,Many35,0.28462720285138715,-0.16254336701630615,0.12208383583508096,0.001051283954620949,0.4672420035203686,0.8134968126760214
Full-CP μ1,73,Medium35,0.10040285092455029,-0.06597842486434083,0.0344244260602094,0.0013281725864618251,0.39093256945488974,0.15838480547245126
Full-CP μ1,73,Few30,-0.013493337909148563,0.020025192696431847,0.006531854787283273,-0.0021612371727965317,0.14182547306700144,0.028118373607867397
Full-CP μ1,74,Head20,0.6349895867911459,-0.5613025830717009,0.073687003719445,0.0011971198423466668,0.23934335276135243,0.6133493087909301
Full-CP μ1,74,Middle60,0.013898348316338661,0.05291888989461522,0.06681723821095391,0.0008175942389385068,0.6993581034184899,0.3725454003215418
Full-CP μ1,74,Tail20,0.004587058113732683,-0.005011011186676717,-0.000423953072944034,-0.0026983880727008604,0.061298560176510364,0.014105282643868122
Full-CP μ1,74,Many35,0.29824967089820953,-0.17947176171907173,0.1187779091791378,0.0010784015910392467,0.4607545660692267,0.8134968126760214
