分组,实验,编号,协议组,划分,seed,Overall81_100,Head20_81_100,Middle60_81_100,Tail20_81_100,Many81_100,Medium81_100,Few81_100,Tail峰值,峰值轮,Tail最后,最后记录轮,峰值到最后回落pp,说明,原始路径
3 LA与A训练方式,普通Dir E2,R4538f3c4b,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,68.07050000000001,71.41499999999999,66.37333333333333,69.8175,69.78285714285714,65.49857142857142,69.07333333333334,70.2,99,70.2,100,0.0,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e2/tau1_a1_protocol42_beta0.5
3 LA与A训练方式,普通Dir E5,Rabbe357e1,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,69.4605,74.22,67.03166666666667,71.9875,71.47428571428571,66.24857142857142,70.85833333333333,72.2,99,72.2,100,0.0,,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42_beta0.5
3 LA与A训练方式,普通Dir E3,Rfb18c92b9,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,69.6035,74.535,67.155,72.0175,71.71714285714286,66.39428571428572,70.88166666666667,72.15,98,72.1,100,0.05000000000001137,,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/e3/tau1_a1_protocol42_beta0.5
3 LA与A训练方式,普通Dir J,Rffcabcd73,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,72.29249999999999,77.2025,70.96666666666667,71.36,75.25571428571428,71.33857142857143,69.94833333333334,73.05,28,71.25,100,1.7999999999999972,,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/j/tau1_a1_protocol42_beta0.5
3 LA与A训练方式,普通Dir S,R652116473,P4 LA-control/rank4/FP32/noniid-labeldir-fine,noniid-labeldir-fine,42,71.014,75.59,69.06083333333333,72.2975,73.04428571428572,69.30285714285715,70.64166666666667,72.9,57,72.0,100,0.9000000000000057,,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/s/tau1_a1_protocol42_beta0.5
5 B辅助增强,sfra_full-cp_bagg_uniform8_b_transfer lambda10_mu1_protocol42_b_lr0.3_probe0.1_reg0.001_bagg_uniform8_fast,R42b48f11a,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.655,76.02250000000001,68.73333333333333,71.0525,73.07285714285715,68.62714285714286,70.2,71.65,56,70.75,100,0.9000000000000057,,output/sfra_b_aggregation_analysis/sfra_b_aggregation/seed42/client-longtail/full-cp/lambda10_mu1_protocol42_b_lr0.3_probe0.1_reg0.001_bagg_uniform8_fast
5 B辅助增强,sfra_full-cp_bagg_uniform8 lambda10_mu1_protocol42_bagg_uniform8_fast,Rc84498c4f,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.625,76.035,68.68666666666667,71.03,73.07285714285715,68.57428571428571,70.16166666666666,71.65,57,70.75,100,0.9000000000000057,,output/sfra_b_aggregation_analysis/sfra_b_aggregation/seed42/client-longtail/full-cp/lambda10_mu1_protocol42_bagg_uniform8_fast
5 B辅助增强,sfra_full-cp_b_shared_transfer lambda10_mu1_protocol42_bshared_b_lr0.3_probe0.1_reg0.001_fast_v2_f64_c4,R852d06edf,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.7025,76.16,68.755,71.0875,73.15142857142857,68.46142857142857,70.46000000000001,71.8,54,70.8,100,1.0,,output/sfra_b_shared_transfer_analysis/sfra_b_shared_transfer/seed42/client-longtail/full-cp/lambda10_mu1_protocol42_bshared_b_lr0.3_probe0.1_reg0.001_fast_v2_f64_c4
5 B辅助增强,sfra_full-cp_b_transfer lambda10_mu1_protocol42_b_lr0.03_probe0.1_reg0.001,R637027cbc,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.63550000000001,76.0875,68.71583333333334,70.9425,73.12285714285714,68.60714285714286,70.1,71.65,57,70.65,100,1.0,,output/sfra_b_transfer_run2_analysis/sfra_b_transfer_run2/seed42/client-longtail/full-cp/lambda10_mu1_protocol42_b_lr0.03_probe0.1_reg0.001
5 B辅助增强,sfra_full-cp_b_transfer lambda10_mu1_protocol42_b_lr0.1_probe0.1_reg0.001,R1a414fa13,P5 SFRA/rank4/FP32/LA/Client-LT（执行版本另核）,client-longtail,42,70.64450000000001,76.09,68.72833333333332,70.9475,73.12714285714286,68.61714285714285,70.11333333333333,71.65,57,70.65,100,1.0,,output/sfra_b_transfer_run2_analysis/sfra_b_transfer_run2/seed42/client-longtail/full-cp/lambda10_mu1_protocol42_b_lr0.1_probe0.1_reg0.001
