run_id,round,overall,tail,nontail,head,middle,many,medium,few
Rc521cdbcf,54,67.76,66.0,68.2,81.55,63.75,75.91428571428571,63.4,63.333333333333336
Rc521cdbcf,55,67.75,65.95,68.2,81.65,63.71666666666667,75.97142857142858,63.371428571428574,63.266666666666666
Rc521cdbcf,56,67.73,65.6,68.2625,81.7,63.78333333333333,76.0,63.48571428571429,63.03333333333333
Rc521cdbcf,57,67.71,65.55,68.25,81.75,63.75,76.05714285714286,63.457142857142856,62.93333333333333
Rc521cdbcf,58,67.73,65.4,68.3125,81.8,63.81666666666667,76.11428571428571,63.51428571428571,62.86666666666667
Rc521cdbcf,59,67.65,65.15,68.275,81.85,63.75,76.14285714285714,63.51428571428571,62.56666666666667
Rc521cdbcf,60,67.27,64.5,67.9625,82.35,63.166666666666664,76.42857142857143,62.94285714285714,61.63333333333333
Rc521cdbcf,61,67.26,64.35,67.9875,82.35,63.2,76.42857142857143,63.02857142857143,61.5
Rc521cdbcf,62,67.25,64.35,67.975,82.3,63.2,76.42857142857143,63.0,61.5
Rc521cdbcf,63,67.28,64.3,68.025,82.35,63.25,76.42857142857143,63.08571428571429,61.5
Rc521cdbcf,64,67.22,64.05,68.0125,82.5,63.18333333333333,76.57142857142857,63.0,61.233333333333334
Rc521cdbcf,65,67.21,63.85,68.05,82.5,63.233333333333334,76.6,63.05714285714286,61.1
Rc521cdbcf,66,67.15,63.55,68.05,82.55,63.21666666666667,76.6,63.05714285714286,60.9
Rc521cdbcf,67,67.1,63.35,68.0375,82.6,63.18333333333333,76.65714285714286,62.97142857142857,60.766666666666666
Rc521cdbcf,68,67.03,63.15,68.0,82.55,63.15,76.62857142857143,62.94285714285714,60.6
Rc521cdbcf,69,67.0,62.95,68.0125,82.6,63.15,76.62857142857143,63.05714285714286,60.36666666666667
Rc521cdbcf,70,66.76,62.25,67.8875,83.2,62.78333333333333,76.91428571428571,62.628571428571426,59.733333333333334
Rc521cdbcf,71,66.77,62.2,67.9125,83.25,62.8,77.0,62.65714285714286,59.63333333333333
Rc521cdbcf,72,66.77,62.05,67.95,83.25,62.85,77.05714285714286,62.714285714285715,59.5
Rc521cdbcf,73,66.69,61.8,67.9125,83.2,62.81666666666667,77.0,62.74285714285714,59.266666666666666
Rc521cdbcf,74,66.66,61.55,67.9375,83.2,62.85,77.02857142857142,62.77142857142857,59.1
Rc521cdbcf,75,66.66,61.45,67.9625,83.2,62.88333333333333,77.05714285714286,62.77142857142857,59.06666666666667
Rc521cdbcf,76,66.68,61.3,68.025,83.3,62.93333333333333,77.11428571428571,62.857142857142854,58.96666666666667
Rc521cdbcf,77,66.66,61.2,68.025,83.3,62.93333333333333,77.14285714285714,62.82857142857143,58.9
Rc521cdbcf,78,66.65,60.95,68.075,83.3,63.0,77.14285714285714,62.91428571428571,58.766666666666666
Rc521cdbcf,79,66.67,60.75,68.15,83.35,63.083333333333336,77.22857142857143,63.0,58.63333333333333
Rc521cdbcf,80,66.29,59.85,67.9,83.75,62.61666666666667,77.42857142857143,62.457142857142856,57.766666666666666
Rc521cdbcf,81,66.31,59.75,67.95,83.7,62.7,77.42857142857143,62.57142857142857,57.7
Rc521cdbcf,82,66.31,59.7,67.9625,83.65,62.733333333333334,77.45714285714286,62.628571428571426,57.6
Rc521cdbcf,83,66.3,59.7,67.95,83.65,62.71666666666667,77.51428571428572,62.542857142857144,57.6
Rc521cdbcf,84,66.32,59.5,68.025,83.8,62.766666666666666,77.68571428571428,62.6,57.4
Rc521cdbcf,85,66.32,59.45,68.0375,83.85,62.766666666666666,77.71428571428571,62.6,57.36666666666667
Rc521cdbcf,86,66.27,59.2,68.0375,83.85,62.766666666666666,77.68571428571428,62.65714285714286,57.166666666666664
