round,group,token_count,supported_token_count,unsupported_token_count,class_count,supported_class_count,averaging,supported_fraction,nonholder_exists_given_supported,nonholder_positive_share_given_supported,nonholder_candidate_share_given_supported
29,non_tail80,1443,1438,5,80,80,token_equal,0.9965349965349966,0.9255910987482615,0.2816119213635612,0.3559573481687529
29,non_tail80,1443,1438,5,80,80,class_equal,0.9963265614216702,0.9313791969803379,0.3269042138781157,0.39874999999999994
30,all,1516,1509,7,100,100,token_equal,0.9953825857519789,0.9396951623591783,0.3121532761188182,0.3798321184007069
30,all,1516,1509,7,100,100,class_equal,0.9904960317460317,0.955539669757014,0.43859973685503173,0.4946666666666666
30,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8746210821524583,0.8723809523809525
30,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.8785119222033384,0.8783333333333333
30,non_tail80,1443,1439,4,80,80,token_equal,0.9972279972279973,0.936761640027797,0.2847920902797947,0.3558721334259903
30,non_tail80,1443,1439,4,80,80,class_equal,0.9968700396825397,0.9444245871962675,0.328621690517955,0.39874999999999994
31,all,1516,1508,8,100,100,token_equal,0.9947229551451188,0.9542440318302388,0.3131387997590264,0.37948717948717947
31,all,1516,1508,8,100,100,class_equal,0.9893979266347688,0.9638532348663188,0.4403855640243492,0.4946666666666666
31,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8821126760996173,0.8723809523809525
31,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.888008108681612,0.8783333333333333
31,non_tail80,1443,1438,5,80,80,token_equal,0.9965349965349966,0.9520166898470097,0.2854418794920992,0.3554937413073713
31,non_tail80,1443,1438,5,80,80,class_equal,0.9954974082934609,0.9548165435828985,0.3284799278600336,0.39874999999999994
32,all,1516,1509,7,100,100,token_equal,0.9953825857519789,0.9542743538767395,0.3082637869619317,0.3798542080848244
32,all,1516,1509,7,100,100,class_equal,0.991779239766082,0.966195490009136,0.438727749716235,0.4946666666666666
32,tail20,73,71,2,20,20,token_equal,0.9726027397260274,1.0,0.8883462377771367,0.8723004694835681
32,tail20,73,71,2,20,20,class_equal,0.9775,1.0,0.8937223914103469,0.8783333333333333
32,non_tail80,1443,1438,5,80,80,token_equal,0.9965349965349966,0.9520166898470097,0.27962272019706413,0.3555401019935095
32,non_tail80,1443,1438,5,80,80,class_equal,0.9953490497076025,0.9577443625114199,0.324979089292707,0.39874999999999994
33,all,1516,1510,6,100,100,token_equal,0.996042216358839,0.9556291390728476,0.3120482059777328,0.3800441501103753
33,all,1516,1510,6,100,100,class_equal,0.9928863826232248,0.9666865305982213,0.4407499027165216,0.4946666666666666
33,tail20,73,71,2,20,20,token_equal,0.9726027397260274,1.0,0.8902429103808562,0.8723004694835681
33,tail20,73,71,2,20,20,class_equal,0.9775,1.0,0.8941488327622824,0.8783333333333333
33,non_tail80,1443,1439,4,80,80,token_equal,0.9972279972279973,0.9534398888116747,0.28352018373129656,0.35575631225388
33,non_tail80,1443,1439,4,80,80,class_equal,0.9967329782790311,0.9583581632477767,0.32740017020508144,0.39874999999999994
34,all,1516,1509,7,100,100,token_equal,0.9953825857519789,0.9602385685884692,0.3117210638158304,0.37939032471835654
34,all,1516,1509,7,100,100,class_equal,0.9896666666666667,0.9708971357172663,0.4400094796676362,0.4946666666666666
34,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8810368939531098,0.8723809523809525
34,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.8852788417833691,0.8783333333333333
34,non_tail80,1443,1439,4,80,80,token_equal,0.9972279972279973,0.9583043780403058,0.28402675658191134,0.3554088487375492
34,non_tail80,1443,1439,4,80,80,class_equal,0.9958333333333332,0.9636214196465829,0.3286921391387029,0.39874999999999994
35,all,1516,1510,6,100,100,token_equal,0.996042216358839,0.9536423841059603,0.3176889751129397,0.3799116997792495
35,all,1516,1510,6,100,100,class_equal,0.9914682539682539,0.9649466544584225,0.4424655061672446,0.4946666666666666
35,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8661041613343249,0.8723809523809525
35,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.871677134245114,0.8783333333333333
35,non_tail80,1443,1440,3,80,80,token_equal,0.997920997920998,0.9513888888888888,0.2910299035605113,0.35597222222222225
35,non_tail80,1443,1440,3,80,80,class_equal,0.9980853174603175,0.9561833180730283,0.33516259914777724,0.39874999999999994
36,all,1516,1510,6,100,100,token_equal,0.996042216358839,0.9582781456953643,0.31399846749522964,0.38026490066225166
36,all,1516,1510,6,100,100,class_equal,0.9929722222222221,0.9692698768773341,0.4405263784600067,0.4946666666666666
36,tail20,73,71,2,20,20,token_equal,0.9726027397260274,1.0,0.8741008604574483,0.8718309859154929
36,tail20,73,71,2,20,20,class_equal,0.975,1.0,0.8765288695188916,0.8783333333333333
36,non_tail80,1443,1439,4,80,80,token_equal,0.9972279972279973,0.9562195969423211,0.28636311662635017,0.35601111883252257
36,non_tail80,1443,1439,4,80,80,class_equal,0.9974652777777777,0.9615873460966677,0.33152575569528553,0.39874999999999994
37,all,1516,1511,5,100,100,token_equal,0.9967018469656992,0.9576439444076771,0.3141445149230756,0.37970439002867856
37,all,1516,1511,5,100,100,class_equal,0.9915909090909091,0.9684139847780782,0.4403568059187766,0.4946666666666666
37,tail20,73,70,3,20,20,token_equal,0.958904109589041,0.9857142857142858,0.8660209682056831,0.8723809523809525
37,tail20,73,70,3,20,20,class_equal,0.9650000000000001,0.99,0.873978492632625,0.8783333333333333
37,non_tail80,1443,1441,2,80,80,token_equal,0.9986139986139986,0.9562803608605135,0.28733580449296975,0.3557714550080962
37,non_tail80,1443,1441,2,80,80,class_equal,0.9982386363636364,0.9630174809725979,0.3319513842403145,0.39874999999999994
38,all,1516,1510,6,100,100,token_equal,0.996042216358839,0.9609271523178808,0.31859597582709537,0.38033112582781453
38,all,1516,1510,6,100,100,class_equal,0.9930515873015873,0.9723430063669599,0.4433043716415483,0.4946666666666666
38,tail20,73,71,2,20,20,token_equal,0.9726027397260274,1.0,0.8639890994073317,0.8718309859154929
38,tail20,73,71,2,20,20,class_equal,0.975,1.0,0.8688138864811913,0.8783333333333333
38,non_tail80,1443,1439,4,80,80,token_equal,0.9972279972279973,0.9589993050729674,0.291686377651837,0.35608061153578874
38,non_tail80,1443,1439,4,80,80,class_equal,0.9975644841269841,0.9654287579586999,0.33692699293163764,0.39874999999999994
39,all,1516,1509,7,100,100,token_equal,0.9953825857519789,0.9602385685884692,0.3167174709491068,0.3800309255577645
39,all,1516,1509,7,100,100,class_equal,0.9910515873015874,0.9689100145174717,0.43981313228129,0.4946666666666666
39,tail20,73,70,3,20,20,token_equal,0.958904109589041,0.9857142857142858,0.8467224205936346,0.8723809523809525
39,tail20,73,70,3,20,20,class_equal,0.9650000000000001,0.99,0.8565480443647328,0.8783333333333333
39,non_tail80,1443,1439,4,80,80,token_equal,0.9972279972279973,0.9589993050729674,0.2909354372624376,0.35608061153578874
39,non_tail80,1443,1439,4,80,80,class_equal,0.9975644841269841,0.9636375181468398,0.33562940426042936,0.39874999999999994
40,all,1516,1512,4,100,100,token_equal,0.9973614775725593,0.9656084656084656,0.31168659530217496,0.3798280423280423
40,all,1516,1512,4,100,100,class_equal,0.9924444444444444,0.9753626571433881,0.4378827298379364,0.4946666666666666
40,tail20,73,70,3,20,20,token_equal,0.958904109589041,1.0,0.8650194974455321,0.8723809523809525
40,tail20,73,70,3,20,20,class_equal,0.9650000000000001,1.0,0.8720639840899016,0.8783333333333333
40,non_tail80,1443,1442,1,80,80,token_equal,0.9993069993069993,0.9639389736477115,0.284825774809779,0.3559177068885807
