round,group,token_count,supported_token_count,unsupported_token_count,class_count,supported_class_count,averaging,supported_fraction,nonholder_exists_given_supported,nonholder_positive_share_given_supported,nonholder_candidate_share_given_supported
9,all,1516,1067,449,100,98,token_equal,0.7038258575197889,0.9925023430178069,0.30840668452619174,0.3633552014995314
9,all,1516,1067,449,100,98,class_equal,0.6854490406182759,0.9911084946799233,0.45163622904040657,0.4897959183673469
9,tail20,73,51,22,20,19,token_equal,0.6986301369863014,1.0,0.9274384947499145,0.8712418300653596
9,tail20,73,51,22,20,19,class_equal,0.6975,1.0,0.9329828525665301,0.8771929824561404
9,non_tail80,1443,1016,427,80,79,token_equal,0.704088704088704,0.9921259842519685,0.27733323735944976,0.3378608923884514
9,non_tail80,1443,1016,427,80,79,class_equal,0.682436300772845,0.9889700313750948,0.33586931958475663,0.3966244725738397
10,all,1516,1068,448,100,98,token_equal,0.7044854881266491,0.9897003745318352,0.31048906360437223,0.3642322097378277
10,all,1516,1068,448,100,98,class_equal,0.6868516561504682,0.9852756564356994,0.44796965596993266,0.4897959183673469
10,tail20,73,51,22,20,19,token_equal,0.6986301369863014,1.0,0.9217374433301538,0.8712418300653596
10,tail20,73,51,22,20,19,class_equal,0.6975,1.0,0.9262244880985043,0.8771929824561404
10,non_tail80,1443,1017,426,80,79,token_equal,0.7047817047817048,0.9891838741396264,0.27983648998980504,0.3388069485414618
10,non_tail80,1443,1017,426,80,79,class_equal,0.6841895701880852,0.9817343586164372,0.3329463419136939,0.3966244725738397
11,all,1516,1065,451,100,97,token_equal,0.7025065963060686,0.9915492957746479,0.30915320929133094,0.3638810641627543
11,all,1516,1065,451,100,97,class_equal,0.6843361536577918,0.9882111354913851,0.4498862563106865,0.49003436426116836
11,tail20,73,50,23,20,19,token_equal,0.684931506849315,1.0,0.9208621795371422,0.872
11,tail20,73,50,23,20,19,class_equal,0.6875,1.0,0.9253125243090384,0.8771929824561404
11,non_tail80,1443,1015,428,80,78,token_equal,0.7033957033957033,0.9911330049261083,0.2790197624811924,0.3388505747126436
11,non_tail80,1443,1015,428,80,78,class_equal,0.6835451920722397,0.9853394890085175,0.33407729359313937,0.39572649572649576
12,all,1516,1084,432,100,98,token_equal,0.7150395778364116,0.9824723247232472,0.3117377294542199,0.3636223862238622
12,all,1516,1084,432,100,98,class_equal,0.6950724101331283,0.9754810670492732,0.45185895418334787,0.4908163265306122
12,tail20,73,51,22,20,19,token_equal,0.6986301369863014,1.0,0.9237450180056955,0.8712418300653596
12,tail20,73,51,22,20,19,class_equal,0.6975,1.0,0.9278592952909386,0.8771929824561404
12,non_tail80,1443,1033,410,80,79,token_equal,0.7158697158697158,0.9816069699903195,0.28152246157800953,0.33856082607292676
12,non_tail80,1443,1033,410,80,79,class_equal,0.6944655126664102,0.9695841084915034,0.33737785948658555,0.3978902953586498
13,all,1516,1129,387,100,99,token_equal,0.7447229551451188,0.9521700620017715,0.3082745910210262,0.365072335400059
13,all,1516,1129,387,100,99,class_equal,0.7236642127424332,0.9376840048884018,0.44710335797076617,0.49057239057239055
13,tail20,73,52,21,20,19,token_equal,0.7123287671232876,0.9807692307692307,0.9045750242641736,0.8717948717948717
13,tail20,73,52,21,20,19,class_equal,0.7141666666666666,0.9736842105263158,0.9010938647500881,0.8771929824561404
13,non_tail80,1443,1077,366,80,80,token_equal,0.7463617463617463,0.9507892293407614,0.2794838551541333,0.3406066233364283
13,non_tail80,1443,1077,366,80,80,class_equal,0.7260385992613749,0.9291339560493972,0.3392806126106772,0.39875
14,all,1516,1183,333,100,99,token_equal,0.7803430079155673,0.9315300084530854,0.3126102717506813,0.36776556776556774
14,all,1516,1183,333,100,99,class_equal,0.7643611784167882,0.9259782871281761,0.4509804733886124,0.49057239057239055
14,tail20,73,57,16,20,19,token_equal,0.7808219178082192,0.9824561403508771,0.9139199148000966,0.8713450292397662
14,tail20,73,57,16,20,19,class_equal,0.7766666666666666,0.9736842105263158,0.9048240960393557,0.8771929824561404
14,non_tail80,1443,1126,317,80,80,token_equal,0.7803187803187803,0.9289520426287744,0.2821709736567055,0.3422735346358792
14,non_tail80,1443,1126,317,80,80,class_equal,0.7612848063543185,0.9146481303211178,0.3431926130090609,0.39875
15,all,1516,1378,138,100,100,token_equal,0.9089709762532981,0.8766328011611031,0.32717389121022994,0.3749879051765844
15,all,1516,1378,138,100,100,class_equal,0.8975626427184039,0.8903588598588261,0.45515277450726865,0.4946666666666666
15,tail20,73,63,10,20,20,token_equal,0.863013698630137,0.9682539682539683,0.8867298183185688,0.8735449735449736
15,tail20,73,63,10,20,20,class_equal,0.8783333333333333,0.9583333333333334,0.8669104581719168,0.8783333333333333
15,non_tail80,1443,1315,128,80,80,token_equal,0.9112959112959113,0.8722433460076046,0.3003662688468646,0.3511026615969582
15,non_tail80,1443,1315,128,80,80,class_equal,0.9023699700646717,0.8733652414901995,0.3522133535911065,0.39875
16,all,1516,1398,118,100,100,token_equal,0.9221635883905013,0.8812589413447782,0.31585718073230706,0.37594182164997614
16,all,1516,1398,118,100,100,class_equal,0.9093098060301823,0.8983512977315979,0.447959319923404,0.4946666666666666
