method,partition,class_id,last20_accuracy
E5,client-longtail,63,17.35000000
E5,client-longtail,64,54.60000000
E5,client-longtail,65,68.40000000
E5,client-longtail,66,66.85000000
E5,client-longtail,67,24.15000000
E5,client-longtail,68,95.00000000
E5,client-longtail,69,84.25000000
E5,client-longtail,70,69.90000000
E5,client-longtail,71,84.00000000
E5,client-longtail,72,56.75000000
E5,client-longtail,73,73.15000000
E5,client-longtail,74,51.00000000
E5,client-longtail,75,72.30000000
E5,client-longtail,76,79.50000000
E5,client-longtail,77,76.90000000
E5,client-longtail,78,58.75000000
E5,client-longtail,79,67.60000000
E5,client-longtail,80,49.00000000
E5,client-longtail,81,50.70000000
E5,client-longtail,82,91.00000000
E5,client-longtail,83,76.00000000
E5,client-longtail,84,71.75000000
E5,client-longtail,85,83.00000000
E5,client-longtail,86,70.10000000
E5,client-longtail,87,81.40000000
E5,client-longtail,88,55.60000000
E5,client-longtail,89,87.25000000
E5,client-longtail,90,81.00000000
E5,client-longtail,91,61.40000000
E5,client-longtail,92,75.25000000
E5,client-longtail,93,47.00000000
E5,client-longtail,94,82.95000000
E5,client-longtail,95,64.00000000
E5,client-longtail,96,77.80000000
E5,client-longtail,97,62.00000000
E5,client-longtail,98,71.00000000
E5,client-longtail,99,84.80000000
J,client-longtail,0,93.00000000
J,client-longtail,1,81.15000000
J,client-longtail,2,84.45000000
J,client-longtail,3,60.90000000
J,client-longtail,4,43.20000000
J,client-longtail,5,82.50000000
J,client-longtail,6,79.40000000
J,client-longtail,7,71.40000000
J,client-longtail,8,90.20000000
J,client-longtail,9,93.40000000
J,client-longtail,10,55.15000000
J,client-longtail,11,76.60000000
J,client-longtail,12,90.45000000
J,client-longtail,13,85.65000000
J,client-longtail,14,76.00000000
J,client-longtail,15,85.35000000
J,client-longtail,16,89.00000000
J,client-longtail,17,84.55000000
J,client-longtail,18,70.20000000
J,client-longtail,19,78.65000000
J,client-longtail,20,90.65000000
J,client-longtail,21,88.00000000
J,client-longtail,22,86.75000000
J,client-longtail,23,79.70000000
J,client-longtail,24,76.45000000
J,client-longtail,25,72.05000000
J,client-longtail,26,67.50000000
J,client-longtail,27,51.15000000
J,client-longtail,28,82.95000000
J,client-longtail,29,69.00000000
J,client-longtail,30,67.95000000
J,client-longtail,31,82.80000000
J,client-longtail,32,53.10000000
J,client-longtail,33,69.40000000
J,client-longtail,34,78.10000000
J,client-longtail,35,80.95000000
J,client-longtail,36,76.20000000
J,client-longtail,37,85.35000000
J,client-longtail,38,70.10000000
J,client-longtail,39,86.05000000
J,client-longtail,40,77.95000000
J,client-longtail,41,89.95000000
J,client-longtail,42,52.50000000
J,client-longtail,43,81.00000000
J,client-longtail,44,74.00000000
J,client-longtail,45,49.45000000
J,client-longtail,46,76.35000000
J,client-longtail,47,53.05000000
J,client-longtail,48,94.50000000
J,client-longtail,49,93.40000000
J,client-longtail,50,47.40000000
J,client-longtail,51,80.40000000
J,client-longtail,52,62.80000000
J,client-longtail,53,95.85000000
J,client-longtail,54,84.70000000
J,client-longtail,55,39.25000000
J,client-longtail,56,87.00000000
J,client-longtail,57,75.80000000
J,client-longtail,58,90.00000000
J,client-longtail,59,69.90000000
J,client-longtail,60,76.00000000
J,client-longtail,61,69.75000000
J,client-longtail,62,82.15000000
J,client-longtail,63,38.25000000
J,client-longtail,64,57.60000000
J,client-longtail,65,65.95000000
J,client-longtail,66,67.30000000
J,client-longtail,67,40.85000000
J,client-longtail,68,94.00000000
J,client-longtail,69,75.00000000
J,client-longtail,70,75.60000000
J,client-longtail,71,80.60000000
J,client-longtail,72,58.20000000
J,client-longtail,73,70.40000000
J,client-longtail,74,36.50000000
J,client-longtail,75,69.10000000
J,client-longtail,76,83.95000000
J,client-longtail,77,70.30000000
J,client-longtail,78,75.45000000
J,client-longtail,79,66.60000000
J,client-longtail,80,45.00000000
J,client-longtail,81,40.05000000
J,client-longtail,82,89.00000000
J,client-longtail,83,65.30000000
J,client-longtail,84,52.80000000
J,client-longtail,85,76.55000000
J,client-longtail,86,72.00000000
J,client-longtail,87,76.90000000
J,client-longtail,88,61.10000000
J,client-longtail,89,75.50000000
J,client-longtail,90,85.00000000
J,client-longtail,91,66.10000000
J,client-longtail,92,49.35000000
J,client-longtail,93,44.50000000
J,client-longtail,94,78.15000000
J,client-longtail,95,20.90000000
J,client-longtail,96,45.15000000
J,client-longtail,97,51.65000000
J,client-longtail,98,55.00000000
J,client-longtail,99,55.40000000
S,client-longtail,0,91.20000000
S,client-longtail,1,77.00000000
S,client-longtail,2,83.00000000
S,client-longtail,3,66.95000000
S,client-longtail,4,43.95000000
S,client-longtail,5,78.60000000
S,client-longtail,6,81.20000000
S,client-longtail,7,68.85000000
S,client-longtail,8,89.85000000
S,client-longtail,9,89.55000000
S,client-longtail,10,54.40000000
S,client-longtail,11,73.65000000
S,client-longtail,12,87.60000000
S,client-longtail,13,84.00000000
S,client-longtail,14,76.00000000
S,client-longtail,15,84.15000000
S,client-longtail,16,87.00000000
S,client-longtail,17,83.05000000
S,client-longtail,18,57.75000000
S,client-longtail,19,79.00000000
S,client-longtail,20,88.85000000
S,client-longtail,21,86.00000000
S,client-longtail,22,84.00000000
S,client-longtail,23,74.00000000
S,client-longtail,24,72.90000000
S,client-longtail,25,67.30000000
S,client-longtail,26,61.00000000
S,client-longtail,27,50.80000000
S,client-longtail,28,74.35000000
S,client-longtail,29,69.95000000
S,client-longtail,30,58.90000000
S,client-longtail,31,77.00000000
S,client-longtail,32,44.35000000
S,client-longtail,33,66.70000000
S,client-longtail,34,76.00000000
S,client-longtail,35,72.00000000
S,client-longtail,36,71.75000000
S,client-longtail,37,89.00000000
S,client-longtail,38,72.55000000
S,client-longtail,39,82.00000000
S,client-longtail,40,73.90000000
S,client-longtail,41,89.60000000
S,client-longtail,42,44.15000000
S,client-longtail,43,82.55000000
S,client-longtail,44,67.50000000
S,client-longtail,45,43.85000000
S,client-longtail,46,71.25000000
S,client-longtail,47,47.00000000
S,client-longtail,48,95.00000000
S,client-longtail,49,90.00000000
S,client-longtail,50,30.90000000
S,client-longtail,51,75.25000000
S,client-longtail,52,56.45000000
S,client-longtail,53,97.00000000
S,client-longtail,54,81.95000000
S,client-longtail,55,31.00000000
S,client-longtail,56,87.00000000
S,client-longtail,57,73.45000000
S,client-longtail,58,92.00000000
S,client-longtail,59,79.00000000
S,client-longtail,60,75.85000000
S,client-longtail,61,73.65000000
S,client-longtail,62,74.40000000
S,client-longtail,63,23.20000000
S,client-longtail,64,64.60000000
S,client-longtail,65,63.10000000
S,client-longtail,66,71.30000000
S,client-longtail,67,37.45000000
S,client-longtail,68,94.40000000
S,client-longtail,69,81.10000000
S,client-longtail,70,70.00000000
S,client-longtail,71,85.80000000
S,client-longtail,72,56.25000000
S,client-longtail,73,71.65000000
S,client-longtail,74,40.15000000
S,client-longtail,75,72.00000000
S,client-longtail,76,81.00000000
S,client-longtail,77,69.00000000
S,client-longtail,78,64.50000000
S,client-longtail,79,63.40000000
S,client-longtail,80,45.00000000
S,client-longtail,81,45.75000000
S,client-longtail,82,91.00000000
S,client-longtail,83,70.45000000
S,client-longtail,84,69.50000000
S,client-longtail,85,83.00000000
S,client-longtail,86,70.65000000
S,client-longtail,87,86.00000000
S,client-longtail,88,65.05000000
S,client-longtail,89,78.10000000
S,client-longtail,90,83.95000000
S,client-longtail,91,68.85000000
S,client-longtail,92,72.75000000
S,client-longtail,93,48.00000000
S,client-longtail,94,80.65000000
S,client-longtail,95,56.10000000
S,client-longtail,96,67.65000000
S,client-longtail,97,51.45000000
S,client-longtail,98,69.40000000
S,client-longtail,99,69.95000000
E0,noniid-labeldir-fine,0,93.20000000
E0,noniid-labeldir-fine,1,81.15000000
E0,noniid-labeldir-fine,2,82.00000000
E0,noniid-labeldir-fine,3,72.05000000
E0,noniid-labeldir-fine,4,66.15000000
E0,noniid-labeldir-fine,5,74.85000000
E0,noniid-labeldir-fine,6,83.55000000
